duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.0, -0.0018874952489342511, 0.21445689336581958, 4.7571320839698283e-5, -1.5985468680044614e-5, 0.0, 0.0, 0.0, 0.0, -1.6963634546785236, -0.0026158193200308544, 0.0003770017016390126, 5.5001436212028423e-5, 0.0, 0.0, 0.0, 0.0, 0.5, 8.326672684688674e-17, -8.326672684688674e-17, 2.7755575615628914e-17, 0.0, 0.0, 0.0, 0.0, -0.01364422018300387, 0.009907401721608632, -0.0044961953966079805, 0.0012423629042490048, 0.0, 0.0, 0.0, 0.0
1.0, 0.21260098396904498, 0.21450407960145884, -3.8508520043556427e-7, -6.19372429522258e-6, 0.0, 0.0, 0.0, 0.0, -1.6985472708607032, -0.001696811608116744, 0.0005420060102750979, 0.00015229176711217818, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, -1.850371707708594e-17, 0.0, 0.0, 0.0, 0.0, -0.006990650953754213, 0.004642099641139685, -0.000769106683860966, 0.0003066556850160624, 0.0, 0.0, 0.0, 0.0
1.0, 0.42709848476100815, 0.21448472825817227, -1.8966258086103305e-5, 3.389404055049542e-5, 0.0, 0.0, 0.0, 0.0, -1.6995497846914325, -0.00015592428623001364, 0.0009988813116116324, -0.0012081009115582815, 0.0, 0.0, 0.0, 0.0, 0.5, -5.551115123125783e-17, -5.551115123125783e-17, 5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, -0.002811002311459432, 0.004023853328465939, 0.0001508603711872212, -0.002242567587514887, 0.0, 0.0, 0.0, 0.0
1.0, 0.6415981408016449, 0.21454847786365155, 8.271586356538296e-5, -0.00013122070921156118, 0.0, 0.0, 0.0, 0.0, -1.6999149285776092, -0.0017824643976815935, -0.0026254214230632122, 0.004309513108593732, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 1.1102230246251565e-16, -5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, -0.000878856199321158, -0.00240212869170428, -0.006576842391357441, 0.009687810329313888, 0.0, 0.0, 0.0, 0.0
1.0, 0.8560981138196502, 0.21432024746314765, -0.0003109462640693006, 0.00020576034484320882, 0.0, 0.0, 0.0, 0.0, -1.7000133012897605, 0.0058952320819731785, 0.010303117902717984, -0.00704639451483798, 0.0, 0.0, 0.0, 0.0, 0.5, 5.551115123125783e-17, -5.551115123125783e-17, -9.25185853854297e-18, 0.0, 0.0, 0.0, 0.0, -0.0001700169530689903, 0.013507617513522505, 0.022486588596584225, -0.023128949284238864, 0.0, 0.0, 0.0, 0.0
1.0, 1.0703131753635717, 0.21431563596953868, 0.00030633477046032587, -0.00013508332658782965, 0.0, 0.0, 0.0, 0.0, -1.690861345819907, 0.005362284342895207, -0.010836065641795956, 0.003955482449648643, 0.0, 0.0, 0.0, 0.0, 0.5, -8.326672684688674e-17, -8.326672684688674e-17, 5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, 0.012695239872798879, -0.010906053146025631, -0.046900259256132365, 0.02810889849331666, 0.0, 0.0, 0.0, 0.0
1.0, 1.2848000627769829, 0.21452305553069584, -9.891520930316311e-5, 4.561514820792626e-5, 0.0, 0.0, 0.0, 0.0, -1.6923796446691592, -0.004443399591750774, 0.0010303817071499743, -0.00018313016107326013, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, -8.326672684688674e-17, 8.326672684688674e-17, -2.7755575615628914e-17, 0.0, 0.0, 0.0, 0.0, -0.017002174036042456, -0.020379876178340382, 0.03742643622381761, -0.0145497794699509, 0.0, 0.0, 0.0, 0.0
1.0, 1.4992698182465838, 0.2144620705567133, 3.793023532061568e-5, -1.347038069610118e-5, 0.0, 0.0, 0.0, 0.0, -1.6959757927148336, -0.002932026660670606, 0.0004809912239301939, 8.513020299250051e-5, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 0.0, 0.0, 9.25185853854297e-18, 0.0, 0.0, 0.0, 0.0, -0.014505393460516129, 0.01082365785944214, -0.0062229021860350925, 0.0021789699087847647, 0.0, 0.0, 0.0, 0.0
1.0, 1.7137563486579213, 0.21449751988526622, -2.4809067676878627e-6, 1.839949199037664e-6, 0.0, 0.0, 0.0, 0.0, -1.6983416979485815, -0.0017146536038327165, 0.0007363818329076954, -0.0001443469577146102, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 2.7755575615628914e-17, 2.7755575615628914e-17, 9.25185853854297e-18, 0.0, 0.0, 0.0, 0.0, -0.007725667878324315, 0.004914763213726249, 0.00031400754031920284, -0.0007074472123991933, 0.0, 0.0, 0.0, 0.0
1.0, 1.928253227585619, 0.21449807791932796, 3.0389408294251297e-6, -1.5744803819976263e-6, 0.0, 0.0, 0.0, 0.0, -1.6994643166772208, -0.0006749308111611563, 0.00030334095976386477, -5.0911578169517594e-5, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 1.1102230246251565e-16, 5.551115123125783e-17, -7.401486830834377e-17, 0.0, 0.0, 0.0, 0.0, -0.003204344336678055, 0.003420436657167075, -0.0018083340968783775, 0.0005487209961858721, 0.0, 0.0, 0.0, 0.0
